comment,label
we need mr chari 's review on master ,NTL
worst government . #ysrcp chala cheta ga paripalana chestumdi . ,NEG
baya nuvu emina chepu kani bagoledu ani chepaku enta kastapadi testaru ,NEG
gadini vadilesi manchi pani chesaru @rcbtweets 👍 ,POS
"i came to watch thyview 's review crying after watching dil bechara . movie felt very emotional . did not cry for any movie but this movie made me feel personal and made me cry for hours . miss you susan . and last quote in movie `` we do not get to decide to when born or when die , but we can decide how to live our life `` this quote is like made for susan , and te word 'seri ' man literally cried . love you 300 susan . ",POS
enti baya review ela ichav chala anukuna gurinchi ,NTL
@mechanicmastr ne basha cheptundi ra ne batuku endo .. laksha ichi chese publicity gurinchi matladutuna ra erri .. oka sayam cheste rendo chetiki telikudadu anta sonu good kalu kadagara ada gadida ,NEG
great bro single day 3 movies chusi reviews cheparu ,NTL
@puremass ante apudu online lo yavaru leru kabati reply ichav lekapote nv reply ivavu ga ana 😌 😌 ,POS
what works and what does ’ to in mesam ! . ,NTL
"@saatimanishi @bhargavkanchar2 @ravispeaks39 rey epudu andi a galilo agurutu , steps read a miku nachaledu antey ga nduk antey mi cheta kadu of ra ah topu of na pandaga chesko ",NEG
sarkaru vari pata release date bro ,NTL
jai maga family 100 days conform ,NTL
pm yesterday reminded me of not a in for every query answer is kandistuna diff is not a looked confident in the scene but te pm not . ,NEG
exactly video chustunapudu de comment ni nenu text cheyali anukuna but you already made it . 😂 😂 ,NTL
@everything share i thought it was released in ott ,NTL
"garth uncut one prem kada 🥰 💞 nice movie , actors acted well in their roles ",POS
mabu gadiki contest cheyamanu ra pila puka .. pm 10 years ruling lo una mamata vodindi and nina vodipoyadu .. mi mabu gadu contest cheste oka 2k votes padataya ra pila mabu ,NEG
@hakikihakikhat nuvu kuda akade dorikava entra puka inka sigulekunda lucha matalu matladutunav ,NEG
@sangepuramya @pawankalyan good night chepina one hour taruvata reply ichav chudu nuvu nijam ga great aka ,POS
do not come back ! 🤪 life is getting chala chala band 🌼 ,POS
your voice is superb bro ,POS
ana ni peru ah ? ,NTL
bro pls make a video on hollywood best ever made rom com movies 🙏🏻 🙏🏻 ,NTL
i 'm expecting kidney from him so that i can buy i phone ,NEG
movie super undi go and watch in nearest theatre . . ,POS
@nivas98943599 chala bagndi . ela chesaru . edaina application use chesara ,POS
@mb_ysj_cult jalaga mabu puk gadu vac had roy ,NEG
entrance chudu baya gurtu vastadi ,NTL
@flamingo1712_ i phone users can start anta meru padandi madam pizz .. me voice chala bagundi nijanga ,POS
